number	species	wavelength	flux_ratio
0	HeII	3203.15	1
1	[NeV]	3345.81	1
2	[NeV]	3425.81	1
3	[OII]	3726.03	1
4	[OII]	3728.73	1
5	[NeIII]	3868.69	1
6	[NeIII]	3967.4	1
7	H5	3889.05	0.037
8	He	3970.07	0.056
9	Hd	4101.73	0.091
10	Hg	4340.46	0.164
11	[OIII]	4363.15	1
12	HeII	4685.74	1
13	[ArIV]	4711.3	1
14	[ArIV]	4740.1	1
15	Hb	4861.32	0.35
16	[OIII]	4958.83	0.35
17	[OIII]	5006.77	1
18	[NI]	5197.9	1
19	[NI]	5200.39	1
20	HeI	5875.6	1
21	[OI]	6300.2	1
22	[OI]	6363.67	0.333
23	[NII]	6547.96	0.34
24	Ha	6562.8	1
25	[NII]	6583.34	1
26	[SII]	6716.31	1
27	[SII]	6730.68	1
30	[ArIII]	7135.67	1
